ID	Source	SOURCE_coord	Dest	DEST_coord  count
403	Decatur, AL Metro Area	 40.855019,-78.269096	Huntsville, AL Metro Area	 33.561968,-86.798814	1294
404	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	 28.9005446,-81.2636738	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	1148
405	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	 28.9005446,-81.2636738	Jacksonville, FL Metro Area	 30.3321838,-81.655651	1951
406	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	 28.9005446,-81.2636738	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	1598
407	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	 28.9005446,-81.2636738	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	4417
408	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	 28.9005446,-81.2636738	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	1381
409	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Albuquerque, NM Metro Area	 35.0841034,-106.6509851	1102
410	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	1149
411	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	1061
412	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Boulder, CO Metro Area	 40.102555,-105.3632079	8517
413	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	1170
414	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Colorado Springs, CO Metro Area	 38.8339578,-104.8253485	7235
415	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	2202
416	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	5640
417	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Grand Junction, CO Metro Area	 39.063956,-108.5507317	1845
418	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Greeley, CO Metro Area	 38.4570355,-101.8185007	6795
419	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	1875
420	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Kansas City, MO-KS Metro Area	 39.100105,-94.5781416	1333
421	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	1269
422	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	2778
423	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	1152
424	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	3431
425	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Pueblo, CO Metro Area	 38.187635,-104.5350145	1180
426	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	1130
427	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	1283
428	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	2489
429	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	1561
430	Des Moines-West Des Moines, IA Metro Area	 41.5910641,-93.6037149	Ames, IA Metro Area	 42.0267703,-93.6170554	2283
431	Des Moines-West Des Moines, IA Metro Area	 41.5910641,-93.6037149	Omaha-Council Bluffs, NE-IA Metro Area	 41.2587317,-95.9378732	1076
432	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Ann Arbor, MI Metro Area	 42.2681569,-83.7312291	13026
433	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	2604
434	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	3798
435	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Columbus, OH Metro Area	 39.9622601,-83.0007065	1614
436	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	1475
437	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	1200
438	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Flint, MI Metro Area	 43.0171773,-83.7236024	5557
439	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	5859
440	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	1423
441	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Jackson, MI Metro Area	 32.2990384,-90.1847691	2105
442	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Kalamazoo-Portage, MI Metro Area	 42.291707,-85.5872286	2429
443	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Lansing-East Lansing, MI Metro Area	 42.7337712,-84.5553805	8974
444	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	1129
445	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	1321
446	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Monroe, MI Metro Area	 41.9145037,-83.3968252	2575
447	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	2008
448	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	2604
449	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Saginaw, MI Metro Area	 43.4200387,-83.9490365	1601
450	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	1514
451	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Toledo, OH Metro Area	 41.6786754,-83.5127283	1134
452	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	1190
453	Dover, DE Metro Area	 39.158168,-75.5243682	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	3219
454	Duluth, MN-WI Metro Area	 46.7729322,-92.1251218	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	4192
455	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	Burlington, NC Metro Area	 36.0956918,-79.4377991	1376
456	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	1602
457	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	1256
458	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	1361
459	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	Raleigh, NC Metro Area	 35.7803977,-78.6390989	5806
460	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	1579
461	East Stroudsburg, PA Metro Area	 40.9995386,-75.1812913	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	1788
462	East Stroudsburg, PA Metro Area	 40.9995386,-75.1812913	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	1594
463	El Centro, CA Metro Area	 32.7920,-115.5631	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	1575
464	El Centro, CA Metro Area	 32.7920,-115.5631	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	1601
465	El Paso, TX Metro Area	 31.7600372,-106.487287	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	2259
466	El Paso, TX Metro Area	 31.7600372,-106.487287	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	1518
467	El Paso, TX Metro Area	 31.7600372,-106.487287	Las Cruces, NM Metro Area	 32.3140354,-106.7798078	2522
468	El Paso, TX Metro Area	 31.7600372,-106.487287	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	1398
469	Elizabethtown-Fort Knox, KY Metro Area	 37.693952,-85.8591285	Louisville/Jefferson County, KY-IN Metro Area	 38.209237,-85.7038502	1918
470	Elkhart-Goshen, IN Metro Area	 41.6819935,-85.9766671	South Bend-Mishawaka, IN-MI Metro Area	 41.6833813,-86.2500066	2022
471	Erie, PA Metro Area	 42.1294712,-80.0852695	Pittsburgh, PA Metro Area	 40.4416941,-79.9900861	1126
472	Eugene, OR Metro Area	 44.0505054,-123.0950506	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	4148
473	Eugene, OR Metro Area	 44.0505054,-123.0950506	Salem, OR Metro Area	 44.9391565,-123.033121	1123
474	Evansville, IN-KY Metro Area	 37.9716, -87.5711	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	1346
475	Fairbanks, AK Metro Area	 64.837845,-147.716675	Anchorage, AK Metro Area	 61.1758781,-149.1107333	1255
476	Fargo, ND-MN Metro Area	 46.877229,-96.789821	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	1958
477	Farmington, NM Metro Area	 36.7304288,-108.2089191	Albuquerque, NM Metro Area	 35.0841034,-106.6509851	1230
478	Fayetteville, NC Metro Area	 35.0525759,-78.878292	El Paso, TX Metro Area	 31.7600372,-106.487287	1548
479	Fayetteville, NC Metro Area	 35.0525759,-78.878292	Raleigh, NC Metro Area	 35.7803977,-78.6390989	1450
480	Fayetteville-Springdale-Rogers, AR-MO Metro Area	 36.0625843,-94.1574328	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	1167
481	Fayetteville-Springdale-Rogers, AR-MO Metro Area	 36.0625843,-94.1574328	Little Rock-North Little Rock-Conway, AR Metro Area	 34.7464809,-92.2895948	1185
482	Flagstaff, AZ Metro Area	 35.199458,-111.6514259	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	3559
483	Flint, MI Metro Area	 43.0171773,-83.7236024	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	5136
484	Florence, SC Metro Area	 34.1984435,-79.7671658	Columbia, SC Metro Area	 34.0007493,-81.0343313	1105
485	Fond du Lac, WI Metro Area	 43.7748763,-88.4458033	Milwaukee-Waukesha-West Allis, WI Metro Area	 43.0349931,-87.922497	1029
486	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	Boulder, CO Metro Area	 40.102555,-105.3632079	1702
487	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	4011
488	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	Greeley, CO Metro Area	 38.4570355,-101.8185007	3625
489	Fort Smith, AR-OK Metro Area	 35.3872218,-94.4248983	Fayetteville-Springdale-Rogers, AR-MO Metro Area	 36.0625843,-94.1574328	1296
490	Fort Wayne, IN Metro Area	 41.0799898,-85.1386015	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	1906
491	Fresno, CA Metro Area	 36.7295295,-119.708861260756	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	2008
492	Fresno, CA Metro Area	 36.7295295,-119.708861260756	Hanford-Corcoran, CA Metro Area	 36.3274502,-119.6456844	1857
493	Fresno, CA Metro Area	 36.7295295,-119.708861260756	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	1984
494	Fresno, CA Metro Area	 36.7295295,-119.708861260756	Madera, CA Metro Area	 37.1716264,-119.7737991	1736
495	Fresno, CA Metro Area	 36.7295295,-119.708861260756	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	1060
496	Fresno, CA Metro Area	 36.7295295,-119.708861260756	Sacramento--Roseville--Arden-Arcade, CA Metro Area	 38.5815719,-121.4943996	1517
497	Fresno, CA Metro Area	 36.7295295,-119.708861260756	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	2444
498	Fresno, CA Metro Area	 36.7295295,-119.708861260756	San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area	 35.2827525,-120.6596156	1068
499	Fresno, CA Metro Area	 36.7295295,-119.708861260756	Visalia-Porterville, CA Metro Area	 36.3302284,-119.2920585	2433
500	Gainesville, FL Metro Area	 29.67357765,-82.3233746019217	Jacksonville, FL Metro Area	 30.3321838,-81.655651	1829
501	Gainesville, FL Metro Area	 29.67357765,-82.3233746019217	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	1783
502	Gainesville, FL Metro Area	 29.67357765,-82.3233746019217	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	1119
503	Gainesville, FL Metro Area	 29.67357765,-82.3233746019217	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	1952
504	Gainesville, GA Metro Area	 34.2978794,-83.8240663	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	3999
505	Gettysburg, PA Metro Area	 39.8309399,-77.2310908	York-Hanover, PA Metro Area	 39.962398,-76.727392	2437
506	Glens Falls, NY Metro Area	 43.309941,-73.644447	Albany-Schenectady-Troy, NY Metro Area	 42.6511674,-73.754968	2003
507	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	Ann Arbor, MI Metro Area	 42.2681569,-83.7312291	1216
508	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	1180
509	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	2533
510	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	Kalamazoo-Portage, MI Metro Area	 42.291707,-85.5872286	1790
511	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	Lansing-East Lansing, MI Metro Area	 42.7337712,-84.5553805	2489
512	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	Muskegon, MI Metro Area	 43.2341813,-86.2483921	2821
513	Grants Pass, OR Metro Area	 42.4393707,-123.3272489	Medford, OR Metro Area	 42.3264181,-122.8718605	1321
514	Greeley, CO Metro Area	 38.4570355,-101.8185007	Boulder, CO Metro Area	 40.102555,-105.3632079	2916
515	Greeley, CO Metro Area	 38.4570355,-101.8185007	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	4803
516	Greeley, CO Metro Area	 38.4570355,-101.8185007	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	3248
517	Green Bay, WI Metro Area	 44.5126379,-88.0125794	Appleton, WI Metro Area	 44.2611337,-88.4067604	1526
518	Green Bay, WI Metro Area	 44.5126379,-88.0125794	Milwaukee-Waukesha-West Allis, WI Metro Area	 43.0349931,-87.922497	1011
519	Green Bay, WI Metro Area	 44.5126379,-88.0125794	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	1194
520	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Burlington, NC Metro Area	 36.0956918,-79.4377991	1628
521	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	3282
522	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	1766
523	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Raleigh, NC Metro Area	 35.7803977,-78.6390989	2046
524	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Winston-Salem, NC Metro Area	 36.0999,-80.2442	4629
525	Greenville, NC Metro Area	 35.612661,-77.3663538	Raleigh, NC Metro Area	 35.7803977,-78.6390989	1673
526	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	1211
527	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	Charleston-North Charleston, SC Metro Area	 32.7876012,-79.9402728	2038
528	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	1773
529	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	Columbia, SC Metro Area	 34.0007493,-81.0343313	2615
530	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	Spartanburg, SC Metro Area	 34.9498007,-81.9320157	4134
531	Gulfport-Biloxi-Pascagoula, MS Metro Area	 30.3674198,-89.0928155	Hattiesburg, MS Metro Area	 31.3271189,-89.2903392	1309
532	Gulfport-Biloxi-Pascagoula, MS Metro Area	 30.3674198,-89.0928155	Jackson, MS Metro Area	 28.5308017,-81.3032443107611	1018
533	Hagerstown-Martinsburg, MD-WV Metro Area	 39.6419219,-77.7202641	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	1349
534	Hagerstown-Martinsburg, MD-WV Metro Area	 39.6419219,-77.7202641	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	2857
535	Hammond, LA Metro Area	 41.5833658,-87.500043	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	1509
536	Hammond, LA Metro Area	 41.5833658,-87.500043	New Orleans-Metairie, LA Metro Area	 29.9499323,-90.0701156	1262
537	Hanford-Corcoran, CA Metro Area	 36.3274502,-119.6456844	Fresno, CA Metro Area	 36.7295295,-119.708861260756	1930
538	Hanford-Corcoran, CA Metro Area	 36.3274502,-119.6456844	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	1236
539	Harrisburg-Carlisle, PA Metro Area	 40.2663107,-76.8861122	Lancaster, PA Metro Area	 40.03813,-76.3056686	1273
540	Harrisburg-Carlisle, PA Metro Area	 40.2663107,-76.8861122	Lebanon, PA Metro Area	 40.3429683,-76.4233816	1199
541	Harrisburg-Carlisle, PA Metro Area	 40.2663107,-76.8861122	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	2201
542	Harrisburg-Carlisle, PA Metro Area	 40.2663107,-76.8861122	Pittsburgh, PA Metro Area	 40.4416941,-79.9900861	1163
543	Harrisburg-Carlisle, PA Metro Area	 40.2663107,-76.8861122	York-Hanover, PA Metro Area	 39.962398,-76.727392	2181
544	Harrisonburg, VA Metro Area	 38.4493315,-78.8688833	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	1262
545	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	2486
546	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	Bridgeport-Stamford-Norwalk, CT Metro Area	 41.1792,-73.1894	1836
547	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	New Haven-Milford, CT Metro Area	 41.3083,-72.9279	5752
548	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	2241
549	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	Norwich-New London, CT Metro Area	 41.3557,-72.0995	2629
550	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	Springfield, MA Metro Area	 42.1014831,-72.589811	1399
551	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	Worcester, MA-CT Metro Area	 42.2625932,-71.8022934	2094
552	Hattiesburg, MS Metro Area	 31.3271189,-89.2903392	Gulfport-Biloxi-Pascagoula, MS Metro Area	 30.3674198,-89.0928155	1458
553	Hattiesburg, MS Metro Area	 31.3271189,-89.2903392	Jackson, MS Metro Area	 28.5308017,-81.3032443107611	1102
554	Hickory-Lenoir-Morganton, NC Metro Area	 35.7333312,-81.3442915	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	3157
555	Hinesville, GA Metro Area	 31.8477298,-81.5960354	Savannah, GA Metro Area	 32.0809,-81.0912	1397
556	Homosassa Springs, FL Metro Area	 28.8035939,-82.5759329	Ocala, FL Metro Area	 29.1924213,-82.1352047	1155
557	Homosassa Springs, FL Metro Area	 28.8035939,-82.5759329	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	1278
558	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	1096
559	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	2267
560	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	2042
561	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	2283
562	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	1151
563	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	2327
564	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	Virginia Beach-Norfolk-Newport News, VA-NC Metro Area	 36.8529841,-75.9774183	1247
565	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	1768
566	Hot Springs, AR Metro Area	 34.5037,-93.0552	Little Rock-North Little Rock-Conway, AR Metro Area	 34.7464809,-92.2895948	1114
567	Houma-Thibodaux, LA Metro Area	 29.5957696,-90.7195348	New Orleans-Metairie, LA Metro Area	 29.9499323,-90.0701156	1099
568	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	2057
569	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	13212
570	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	1405
571	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Beaumont-Port Arthur, TX Metro Area	 30.0860459,-94.1018461	4315
572	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Brownsville-Harlingen, TX Metro Area	 25.9140256,-97.4890856	1168
573	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	2623
574	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	College Station-Bryan, TX Metro Area	 30.6253463,-96.3271538	7098
575	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Corpus Christi, TX Metro Area	 27.8002542,-97.3955744	2620
576	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	14093
577	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	2432
578	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	El Paso, TX Metro Area	 31.7600372,-106.487287	1005
579	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Killeen-Temple, TX Metro Area	 31.1171441,-97.727796	1472
580	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	1110
581	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Longview, TX Metro Area	 32.5007038,-94.7404891	1370
582	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	2705
583	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Lubbock, TX Metro Area	 33.5778631,-101.8551665	1697
584	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	McAllen-Edinburg-Mission, TX Metro Area	 26.2043691,-98.230082	1863
585	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	1264
586	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	New Orleans-Metairie, LA Metro Area	 29.9499323,-90.0701156	2495
587	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	2646
588	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Oklahoma City, OK Metro Area	 35.4729886,-97.5170536	1434
589	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	2279
590	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	1246
