Metros,Edge Betweenness
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",0.10756146940515197
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",0.09191107914435655
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",0.0844521697434668
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",0.06297450651322625
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",0.05984442846106716
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",0.05835930632142572
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",0.05429686459415541
"('Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",0.053597591837822
"('Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",0.053104771038120356
"('Miami-Fort Lauderdale-West Palm Beach, FL Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",0.04567916033991316
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",0.042489144622925495
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",0.0412704121047444
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",0.03662191321026133
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",0.03243959615333387
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",0.03136071818641946
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",0.029962172673752632
"('Indianapolis-Carmel-Anderson, IN Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",0.029376115506539867
"('Detroit-Warren-Dearborn, MI Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",0.029249580436346203
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Minneapolis-St. Paul-Bloomington, MN-WI Metro Area')",0.028570286901622315
"('Boston-Cambridge-Newton, MA-NH Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",0.02761794400490157
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",0.02742481152934282
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",0.0274114920482698
"('San Francisco-Oakland-Hayward, CA Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",0.027278297237539627
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Boston-Cambridge-Newton, MA-NH Metro Area')",0.026885372545885612
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Detroit-Warren-Dearborn, MI Metro Area')",0.026718879032472897
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Miami-Fort Lauderdale-West Palm Beach, FL Metro Area')",0.02660566344335225
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",0.026252697194917286
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'St. Louis, MO-IL Metro Area')",0.026212738751698234
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",0.026099523162577586
"('St. Louis, MO-IL Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",0.025433549108926718
"('Birmingham-Hoover, AL Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",0.025173819228002877
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",0.024880790644396494
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",0.024021684115186872
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",0.023149258104904234
"('Portland-Vancouver-Hillsboro, OR-WA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",0.022716374970031167
"('Columbus, OH Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",0.022030421694770774
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Charlotte-Concord-Gastonia, NC-SC Metro Area')",0.021018141133221452
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Birmingham-Hoover, AL Metro Area')",0.019965902128453075
"('Charlotte-Concord-Gastonia, NC-SC Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",0.019812728096113376
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'New Orleans-Metairie, LA Metro Area')",0.019812728096113376
"('Orlando-Kissimmee-Sanford, FL Metro Area', 'Miami-Fort Lauderdale-West Palm Beach, FL Metro Area')",0.018893683902075176
"('Pittsburgh, PA Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",0.0176882708649671
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",0.017368603319214686
"('Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",0.01713551240043688
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Raleigh, NC Metro Area')",0.01677588641146541
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",0.01591012014171928
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Portland-Vancouver-Hillsboro, OR-WA Metro Area')",0.01564373052025893
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",0.015450598044700179
"('Denver-Aurora-Lakewood, CO Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",0.01534404219611604
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",0.015170888942166814
"('St. Louis, MO-IL Metro Area', 'Kansas City, MO-KS Metro Area')",0.01426516422920163
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Cleveland-Elyria, OH Metro Area')",0.014165268121154
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",0.014165268121154
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",0.013845600575401584
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",0.01314632781906817
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Denver-Aurora-Lakewood, CO Metro Area')",0.012700125203122086
"('Salt Lake City, UT Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",0.012693465462585578
"('Spokane-Spokane Valley, WA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",0.012660166759903035
