metro	Delta PR	Coordinates
St. George, UT Metro Area	2.0420181120320726	 37.104153,-113.5841313
Duluth, MN-WI Metro Area	2.034903101068167	 46.7729322,-92.1251218
Hanford-Corcoran, CA Metro Area	2.033355751218072	 36.3274502,-119.6456844
Columbus, OH Metro Area	2.031483998590853	 39.9622601,-83.0007065
Lubbock, TX Metro Area	2.0276740408210063	 33.5778631,-101.8551665
Bellingham, WA Metro Area	2.0187336509099083	 48.7544012,-122.4788361
Chico, CA Metro Area	2.0183134350972196	 39.7285,-121.8375
Billings, MT Metro Area	2.011305002637474	 45.7874957,-108.49607
Flagstaff, AZ Metro Area	2.0075694671368645	 35.199458,-111.6514259
Waterloo-Cedar Falls, IA Metro Area	1.9962849812200099	 42.4979693,-92.3329637
Saginaw, MI Metro Area	1.98765469297845	 43.4200387,-83.9490365
Santa Rosa, CA Metro Area	1.9872762970055613	 38.4404,-122.7141
La Crosse-Onalaska, WI-MN Metro Area	1.9861660820485278	 43.8014053,-91.2395429
Bloomington, IL Metro Area	1.9683849751154798	 40.4731073,-88.9941403
Wichita, KS Metro Area	1.9527021017358512	 37.6922361,-97.3375448
Logan, UT-ID Metro Area	1.9449970557511689	 41.7313447,-111.8348631
Santa Cruz-Watsonville, CA Metro Area	1.9377321667269969	 36.9749416,-122.0285259
Grand Forks, ND-MN Metro Area	1.9311682874897624	 47.9078244,-97.0592028
Muncie, IN Metro Area	1.9262824820585456	 40.1936683,-85.3865114
Sioux Falls, SD Metro Area	1.9254401110963686	 43.5499749,-96.700327
Eau Claire, WI Metro Area	1.9208736839242992	 44.811349,-91.4984941
Peoria, IL Metro Area	1.9178031038095174	 40.6938609,-89.5891008
Battle Creek, MI Metro Area	1.8991524341896178	 42.3192548,-85.1824269
Fort Wayne, IN Metro Area	1.8830200410889986	 41.0799898,-85.1386015
Huntington-Ashland, WV-KY-OH Metro Area	1.8796879686286883	 38.4192496,-82.445154
Topeka, KS Metro Area	1.8777416568916283	 39.049011,-95.677556
Salinas, CA Metro Area	1.872655085468451	 36.6744117,-121.6550372
Flint, MI Metro Area	1.861192973037079	 43.0171773,-83.7236024
Jefferson City, MO Metro Area	1.8217790708320711	 38.577359,-92.1724265
Yakima, WA Metro Area	1.817106805019242	 46.601557,-120.5108421
Terre Haute, IN Metro Area	1.8146897722597348	 39.4667025,-87.4139119
Evansville, IN-KY Metro Area	1.812411321876553	 37.9716, -87.5711
Redding, CA Metro Area	1.8036505845862514	 40.5863563,-122.3916754
Pocatello, ID Metro Area	1.8009408406904361	 42.8688613,-112.4401098
Madera, CA Metro Area	1.7889562412581883	 37.1716264,-119.7737991
Rapid City, SD Metro Area	1.7791686353461662	 44.081176,-103.228006
Longview, TX Metro Area	1.7759475751908576	 32.5007038,-94.7404891
Niles-Benton Harbor, MI Metro Area	1.7752604401132226	 41.8297694,-86.2541768
Yuba City, CA Metro Area	1.7730303168016606	 39.1404477,-121.6169108
Cedar Rapids, IA Metro Area	1.771857245303583	 41.9758872,-91.6704053
Midland, MI Metro Area	1.7713204816149322	 43.6155825,-84.2472117
Shreveport-Bossier City, LA Metro Area	1.7690531673088694	 32.5221828,-93.7651944
Tyler, TX Metro Area	1.766496624148366	 32.3512601,-95.3010624
Davenport-Moline-Rock Island, IA-IL Metro Area	1.7637957645439328	 41.5236436,-90.5776368
Idaho Falls, ID Metro Area	1.7585169302717003	 43.4935245,-112.0400919
Bowling Green, KY Metro Area	1.7582940452246387	 36.9903199,-86.4436018
Grants Pass, OR Metro Area	1.7538502945836556	 42.4393707,-123.3272489
St. Joseph, MO-KS Metro Area	1.7534825904092335	 39.7686055,-94.8466322
College Station-Bryan, TX Metro Area	1.7528518535010231	 30.6253463,-96.3271538
Anchorage, AK Metro Area	1.7437350736883035	 61.1758781,-149.1107333
Corpus Christi, TX Metro Area	1.740630382795951	 27.8002542,-97.3955744
Las Cruces, NM Metro Area	1.7405517202316199	 32.3140354,-106.7798078
Charleston, WV Metro Area	1.7312822018730876	 38.3505995,-81.6332812
Sioux City, IA-NE-SD Metro Area	1.7309165172736132	 42.4966815,-96.4058782
Muskegon, MI Metro Area	1.7298998972277955	 43.2341813,-86.2483921
Bay City, MI Metro Area	1.726767224360709	 28.9827565,-95.969402
Bremerton-Silverdale, WA Metro Area	1.7197144206126902	 47.5653663,-122.6246836
Joplin, MO Metro Area	1.7159816039510476	 37.08418,-94.51323
Toledo, OH Metro Area	1.7071800746489962	 41.6786754,-83.5127283
Elkhart-Goshen, IN Metro Area	1.7015754388480286	 41.6819935,-85.9766671
Janesville-Beloit, WI Metro Area	1.6990349965609048	 42.6829765,-89.0226793
Rochester, MN Metro Area	1.6841405014548128	 44.0234387,-92.4630182
Midland, TX Metro Area	1.6816006868839275	 31.9973662,-102.0779482
Hot Springs, AR Metro Area	1.6750030380912901	 34.5037,-93.0552
Johnson City, TN Metro Area	1.668605649398692	 36.3134398,-82.3534728
Amarillo, TX Metro Area	1.664570319907842	 35.2072185,-101.8338246
Bismarck, ND Metro Area	1.662527356563893	 46.808327,-100.783739
Abilene, TX Metro Area	1.6521972769330393	 32.4466741,-99.7333011
Sheboygan, WI Metro Area	1.6520985047728836	 43.7508284,-87.71453
Missoula, MT Metro Area	1.6483700561630161	 46.8700801,-113.9952796
Jackson, MI Metro Area	1.6424034319619756	 32.2990384,-90.1847691
Mount Vernon-Anacortes, WA Metro Area	1.6398975058870602	 48.4200462,-122.32642
Monroe, LA Metro Area	1.6221911971768792	 38.2722313,-90.1792484
Dubuque, IA Metro Area	1.6199060748165774	 42.5006217,-90.6647967
Yuma, AZ Metro Area	1.6197886447480003	 32.6926588,-114.6276157
Walla Walla, WA Metro Area	1.6173912173565599	 46.0650381,-118.3302476
Casper, WY Metro Area	1.615361520903983	 38.3067052,-122.3465718
Hammond, LA Metro Area	1.615316481269331	 41.5833658,-87.500043
Santa Fe, NM Metro Area	1.6101782320537046	 35.6869996,-105.9377997
Rockford, IL Metro Area	1.604635649248248	 42.2713945,-89.093966
Wenatchee, WA Metro Area	1.6031047141361896	 47.4234599,-120.3103494
Texarkana, TX-AR Metro Area	1.6008936249878596	 33.4254684,-94.0430977
Fond du Lac, WI Metro Area	1.5921973590990717	 43.7748763,-88.4458033
Racine, WI Metro Area	1.5884944902076803	 42.7260523,-87.7825242
Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area	1.5866222875783598	 36.1622296,-86.7743531
Manhattan, KS Metro Area	1.5777455974157542	 39.1836082,-96.5716694
Cape Girardeau, MO-IL Metro Area	1.5771995623488095	 37.3058839,-89.5181476
Fort Smith, AR-OK Metro Area	1.5722674625942048	 35.3872218,-94.4248983
Sierra Vista-Douglas, AZ Metro Area	1.5673633285631954	 31.5455709,-110.2772249
Cheyenne, WY Metro Area	1.5631094437370792	 41.1400,-104.8202
Olympia-Tumwater, WA Metro Area	1.5570989505490906	 47.0451022,-122.8950075
Canton-Massillon, OH Metro Area	1.5567412583434181	 40.7989522,-81.3784445
Lake Charles, LA Metro Area	1.5530083747924754	 30.2265949,-93.2173759
El Centro, CA Metro Area	1.549665039325633	 32.7920,-115.5631
Wheeling, WV-OH Metro Area	1.5384278369873607	 40.0639616,-80.7209149
Michigan City-La Porte, IN Metro Area	1.5339547229691313	 41.7075394,-86.8950297
Kingsport-Bristol-Bristol, TN-VA Metro Area	1.5275623734972665	 36.550238,-82.5594293
Carbondale-Marion, IL Metro Area	1.526633456225843	 37.7274692,-89.216655
Pine Bluff, AR Metro Area	1.5152041567549037	 34.2284312,-92.0031955
San Angelo, TX Metro Area	1.5151117712480962	 31.4648357,-100.4398442
Monroe, MI Metro Area	1.5114781193733715	 41.9145037,-83.3968252
Alexandria, LA Metro Area	1.506913775551526	 31.3113,-92.4451
Lawton, OK Metro Area	1.5056950420273352	 34.6086854,-98.3903305
Chicago-Naperville-Elgin, IL-IN-WI Metro Area	1.5053896642653468	 41.8755616,-87.6244212
Great Falls, MT Metro Area	1.5035879537471548	 47.5048851,-111.2918908
Portland-South Portland, ME Metro Area	1.4979553913512313	 43.6591,-70.2568
Napa, CA Metro Area	1.4937057493799675	 38.2975,-122.2869
Greenville, NC Metro Area	1.4934704004893962	 35.612661,-77.3663538
Clarksville, TN-KY Metro Area	1.4885088896405934	 36.5277607,-87.3588703
Ann Arbor, MI Metro Area	1.487199265855655	 42.2681569,-83.7312291
Decatur, AL Metro Area	1.4871945819496575	 40.855019,-78.269096
Columbus, IN Metro Area	1.4854498802448364	 39.730727,-82.604837
Cincinnati, OH-KY-IN Metro Area	1.4832269164977845	 39.1014537,-84.5124602
Knoxville, TN Metro Area	1.4829121311688616	 35.9603948,-83.9210261
Wilmington, NC Metro Area	1.4823072882982815	 34.2257282,-77.9447107
Lewiston, ID-WA Metro Area	1.4803996785070799	 46.4165506,-117.0176569
Lynchburg, VA Metro Area	1.4802916950999678	 37.40088,-79.1844923945909
Weirton-Steubenville, WV-OH Metro Area	1.4781759798612217	 40.4189566,-80.5895167
Carson City, NV Metro Area	1.47544187471734	 39.1637984,-119.7674034
Mankato-North Mankato, MN Metro Area	1.4683710424999246	 44.1634663,-93.9993505
Kokomo, IN Metro Area	1.4658243986312673	 40.4864444,-86.1336351
Springfield, OH Metro Area	1.4580606040744863	 39.9242266,-83.8088172
Longview, WA Metro Area	1.4558003435027238	 46.1377048,-122.9344623
Farmington, NM Metro Area	1.4500171343084334	 36.7304288,-108.2089191
Anniston-Oxford-Jacksonville, AL Metro Area	1.4497885120830178	 33.695381,-85.8398422788233
Wichita Falls, TX Metro Area	1.4430609453365117	 33.9137085,-98.4933873
Decatur, IL Metro Area	1.4375174292904285	 39.8454163,-88.9524151
Houma-Thibodaux, LA Metro Area	1.437320906934119	 29.5957696,-90.7195348
Staunton-Waynesboro, VA Metro Area	1.4356411530608726	 38.1496,-79.0717
Danville, IL Metro Area	1.4341645072573879	 40.125222,-87.6304614
Wausau, WI Metro Area	1.431120428390222	 44.9596017,-89.6298239
Owensboro, KY Metro Area	1.4292218406979518	 37.7742152,-87.1133304
New Bern, NC Metro Area	1.4289206681312918	 35.1084931,-77.0441143
Gadsden, AL Metro Area	1.4274817232907533	 33.565356,-86.783621
Charlottesville, VA Metro Area	1.4219994769454953	 38.029306,-78.4766781
Birmingham-Hoover, AL Metro Area	1.415922052360949	 33.570499,-86.765783
Grand Junction, CO Metro Area	1.4016540431563809	 39.063956,-108.5507317
Morristown, TN Metro Area	1.390639111136828	 36.2139814,-83.2948923
Grand Island, NE Metro Area	1.3880656230424244	 40.924271,-98.338685
Lexington-Fayette, KY Metro Area	1.3801451557541276	 38.0464066,-84.4970393
Jonesboro, AR Metro Area	1.3770094536542627	 35.8428646,-90.7034522
Victoria, TX Metro Area	1.369364392287168	 28.8052674,-97.0035982
Hattiesburg, MS Metro Area	1.3653243417860494	 31.3271189,-89.2903392
Jackson, TN Metro Area	1.3649640729888868	 35.6144446,-88.8177418
Lima, OH Metro Area	1.3623166578716899	 40.742551,-84.1052256
Waco, TX Metro Area	1.3566812105815766	 31.549333,-97.1466695
El Paso, TX Metro Area	1.3549245179318108	 31.7600372,-106.487287
Bangor, ME Metro Area	1.3390830574174601	 44.8016,-68.7712
Pueblo, CO Metro Area	1.338640585833023	 38.187635,-104.5350145
Goldsboro, NC Metro Area	1.3194342568168287	 35.3848841,-77.9927651
Lewiston-Auburn, ME Metro Area	1.3128014603614921	 44.100351,-70.2147764
Jackson, MS Metro Area	1.3080421439254755	 28.5308017,-81.3032443107611
Brownsville-Harlingen, TX Metro Area	1.2968125769992864	 25.9140256,-97.4890856
Beaumont-Port Arthur, TX Metro Area	1.291637492498816	 30.0860459,-94.1018461
Tuscaloosa, AL Metro Area	1.2842322977033678	 33.490251,-86.859181
Harrisonburg, VA Metro Area	1.2813628371616865	 38.4493315,-78.8688833
Burlington, NC Metro Area	1.272198718725256	 36.0956918,-79.4377991
Daphne-Fairhope-Foley, AL Metro Area	1.2707148072360837	 30.6035255,-87.9036047
Sherman-Denison, TX Metro Area	1.263389369083668	 33.6360125,-96.6097889
Cumberland, MD-WV Metro Area	1.2625927078710508	 39.6528509,-78.7624714
California-Lexington Park, MD Metro Area	1.2438413214458341	 38.3004029,-76.5074542
Johnstown, PA Metro Area	1.2402671361759812	 40.3267407,-78.9219698
Mobile, AL Metro Area	1.2316943533059472	 39.092585,-84.853229
Rocky Mount, NC Metro Area	1.224620954889987	 35.9423833,-77.7956949
Hagerstown-Martinsburg, MD-WV Metro Area	1.2122171118655314	 39.6419219,-77.7202641
Elmira, NY Metro Area	1.2057285668767825	 42.0897965,-76.8077338
New Orleans-Metairie, LA Metro Area	1.1974537928127056	 29.9499323,-90.0701156
Altoona, PA Metro Area	1.1972313939854866	 40.518681,-78.394736
Beckley, WV Metro Area	1.1932097828756578	 37.7781702,-81.1881557
Huntsville, AL Metro Area	1.1905404188100512	 33.561968,-86.798814
Sumter, SC Metro Area	1.1873735041884266	 33.9204354,-80.3414693
Glens Falls, NY Metro Area	1.164816029181352	 43.309941,-73.644447
Blacksburg-Christiansburg-Radford, VA Metro Area	1.1503944353968236	 37.2296566,-80.4136767
Laredo, TX Metro Area	1.1502397150409172	 27.5199841,-99.4953764
Watertown-Fort Drum, NY Metro Area	1.1436778441046083	 43.9747838,-75.9107565
Cleveland, TN Metro Area	1.1428748344123931	 35.1595182,-84.8766115
Winchester, VA-WV Metro Area	1.142191844574216	 39.1852184,-78.1652404
Morgantown, WV Metro Area	1.1373862453623778	 39.6296809,-79.9559437
Williamsport, PA Metro Area	1.135777928127431	 41.2493292,-77.0027671
Roanoke, VA Metro Area	1.1357340560821765	 37.2738215,-79.9602021478478
Kahului-Wailuku-Lahaina, HI Metro Area	1.08199895449627	 20.8894101,-156.4727118
Durham-Chapel Hill, NC Metro Area	1.0725304191977654	 36.0181316,-78.8751582
Mansfield, OH Metro Area	1.0657838527183414	 40.75839,-82.5154471
Akron, OH Metro Area	1.03394504423265	 41.083064,-81.518485
McAllen-Edinburg-Mission, TX Metro Area	1.032888533377958	 26.2043691,-98.230082
Florence, SC Metro Area	1.0110058338136536	 34.1984435,-79.7671658
Florence-Muscle Shoals, AL Metro Area	0.9915829678120575	 34.74481,-87.66753 
Greensboro-High Point, NC Metro Area	0.9781991126423494	 36.0726355,-79.7919754
Elizabethtown-Fort Knox, KY Metro Area	0.9702350787620627	 37.693952,-85.8591285
Memphis, TN-MS-AR Metro Area	0.9671427464680998	 35.1490215,-90.0516285
Odessa, TX Metro Area	0.9604604237290056	 31.8457149,-102.367687
Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area	0.9549388042882738	 33.6956461,-78.8900409
Pittsfield, MA Metro Area	0.9451068469893331	 42.4500967,-73.2453785
Burlington-South Burlington, VT Metro Area	0.9276210941514809	 44.4762975,-73.2135472
Youngstown-Warren-Boardman, OH-PA Metro Area	0.9155679379598426	 41.1035786,-80.6520161
Kankakee, IL Metro Area	0.9061325936864616	 41.1200325,-87.8611531
Fairbanks, AK Metro Area	0.8518962597577279	 64.837845,-147.716675
Ithaca, NY Metro Area	0.8405144741372491	 42.4396039,-76.4968019
Dothan, AL Metro Area	0.8387554269030628	 31.2232313,-85.3904889
Gettysburg, PA Metro Area	0.8343639835520461	 39.8309399,-77.2310908
Chattanooga, TN-GA Metro Area	0.8298917760801716	 35.0456297,-85.3096801
Hilton Head Island-Bluffton-Beaufort, SC Metro Area	0.8251645496476284	 32.1618488,-80.7512616
Auburn-Opelika, AL Metro Area	0.8187143417988201	 41.4767352,-81.1443658
Barnstable Town, MA Metro Area	0.8023359966661961	 41.278228,-73.600649
Ocean City, NJ Metro Area	0.7800118567765062	 39.2776156,-74.5746001
Binghamton, NY Metro Area	0.7683848597650131	 42.096968,-75.914341
Hickory-Lenoir-Morganton, NC Metro Area	0.7104304093034572	 35.7333312,-81.3442915
Dover, DE Metro Area	0.6866000302325993	 39.158168,-75.5243682
Dalton, GA Metro Area	0.6572388329056673	 34.7698,-84.9702
Bloomsburg-Berwick, PA Metro Area	0.6557569589284076	 41.0041213,-76.453816
Winston-Salem, NC Metro Area	0.6456622077036754	 36.0999,-80.2442
East Stroudsburg, PA Metro Area	0.6166606453876424	 40.9995386,-75.1812913
Utica-Rome, NY Metro Area	0.6140250030119621	 43.1009031,-75.2326641
Springfield, IL Metro Area	0.571502281314926	 39.7990175,-89.6439575
Parkersburg-Vienna, WV Metro Area	0.5193593933539844	 39.2699565,-81.5506916
Salisbury, MD-DE Metro Area	0.5066886800873588	 38.3662114,-75.6008881
Kingston, NY Metro Area	0.4616205187509166	 41.9287812,-74.0023702
Erie, PA Metro Area	0.35376880346243544	 42.1294712,-80.0852695
Punta Gorda, FL Metro Area	0.351861937192971	 26.9297836,-82.0453664
Asheville, NC Metro Area	0.27679244031858163	 35.6009498,-82.5540161
State College, PA Metro Area	0.27394167091585825	 40.7944504,-77.8616386
Chambersburg-Waynesboro, PA Metro Area	0.2316192712173079	 39.9405903,-77.6598624
Rome, GA Metro Area	0.20424069719608565	 34.257038,-85.1646726
Sebastian-Vero Beach, FL Metro Area	0.20107635246484432	 27.816415,-80.4706078
Homosassa Springs, FL Metro Area	0.1989559078577688	 28.8035939,-82.5759329
Raleigh, NC Metro Area	0.1741974234404503	 35.7803977,-78.6390989
Montgomery, AL Metro Area	0.14216255973969505	 40.85239,-78.266098
Gulfport-Biloxi-Pascagoula, MS Metro Area	0.06920150701864719	 30.3674198,-89.0928155
Crestview-Fort Walton Beach-Destin, FL Metro Area	0.06674354291937717	 30.7621326,-86.5705084
Naples-Immokalee-Marco Island, FL Metro Area	0.05080321331518006	 26.1421976,-81.7942944
